"","date","Tweets"
"1","2016-07-10",115935
"2","2016-07-11",121706
"3","2016-07-12",117249
"4","2016-07-13",119410
"5","2016-07-14",108059
"6","2016-07-15",144374
"7","2016-07-16",165051
"8","2016-07-17",119614
"9","2016-07-18",113833
"10","2016-07-19",113385
"11","2016-07-20",115781
"12","2016-07-21",114756
"13","2016-07-22",113625
